id_competition,id_fight,id_person_blue,id_person_white,id_winner,is_finished,round,duration,ippon,waza,yuko,penalty,ippon_b,waza_b,yuko_b,penalty_b,ippon_w,waza_w,yuko_w,penalty_w,type,round_code,round_name,date_start_ts,first_hajime_at_ts,gs,bye,updated_at,hsk_w,hsk_b,tagged,kodokan_tagged,published,sc_countdown_offset,fight_no,contest_code_long,mat,id_competition_teams,id_fight_team,competition_name,competition_date,external_id,city,comp_year,age,fight_duration,weight,id_weight,date_raw,person_white,id_ijf_white,family_name_white,given_name_white,timestamp_version_white,person_blue,id_ijf_blue,family_name_blue,given_name_blue,timestamp_version_blue,country_white,country_short_white,id_country_white,country_blue,country_short_blue,id_country_blue,picture_folder_1,picture_filename_1,picture_folder_2,picture_filename_2,media,rank_name,personal_picture_white,personal_picture_blue
1527,363610,2673,10710,2673,1,0,00:00:00,,,,,0,0,0,0,0,0,0,0,0,,Final,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,0,cont_open_sen2017_m_0100_0000,0,,,Dakar African Open 2017,2017-11-18,cont_open_sen2017,Dakar,2017,Seniors,240,+100,7,2017/11/18,NDIAYE Mbagnick,4c85fc62,NDIAYE,Mbagnick,v1616780414,CAMPOS Hector,bd6685ee,CAMPOS,Hector,v1581819231,Senegal,SEN,78,Argentina,ARG,77,/2019/08/,10710_1565029233.jpg,/2019/04/,2673_1554972035.jpg,,African Open,https://www.judobase.org/files/persons//2019/08//10710_1565029233.jpg,https://www.judobase.org/files/persons//2019/04//2673_1554972035.jpg
1555,363140,13763,8652,8652,1,0,00:00:00,,,,,0,0,0,0,0,0,0,0,0,,Final,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,0,cont_open_van2017_m_0100_0000,0,,,Vanuatu Oceania Open 2017,2017-11-11,cont_open_van2017,Port Villa,2017,Seniors,240,+100,7,2017/11/11,FIAKAIFONU Nazario,6fd6e57d,FIAKAIFONU,Nazario,v1595317215,CUMBO Georges,7b6349d9,CUMBO,Georges,v1521459689,Vanuatu,VAN,287,Vanuatu,VAN,287,/2018/03/,8652_1521465839.jpg,/2018/03/,13763_1521459688.jpg,,Oceanian Open,https://www.judobase.org/files/persons//2018/03//8652_1521465839.jpg,https://www.judobase.org/files/persons//2018/03//13763_1521459688.jpg
1577,383335,9904,12367,12367,1,0,00:00:00,,,,,0,0,0,0,0,0,0,0,0,,Final,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,0,oju_sen2018_m_0100_0000,0,,,Oceania Senior Championships 2018,2018-04-06,oju_sen2018,Noumea,2018,Seniors,240,+100,7,2018/04/06,PARK Liam,56c65f48,PARK,Liam,v1568391890,SUA Derek,9cafcbed,SUA,Derek,v1699608422,Australia,AUS,56,Samoa,SAM,167,/2019/09/,12367_1568391890.jpg,/2019/09/,9904_1568391924.jpg,,Oceanian Championships,https://www.judobase.org/files/persons//2019/09//12367_1568391890.jpg,https://www.judobase.org/files/persons//2019/09//9904_1568391924.jpg
1448,321375,2673,925,2673,1,0,00:00:00,,,,,0,0,0,0,0,0,0,0,0,,Final,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,0,cont_open_arg2017_m_0100_0000,0,,,Buenos Aires Pan American Open 2017,2017-03-11,cont_open_arg2017,Buenos Aires,2017,Seniors,240,+100,7,2017/03/11,GATARIO Gustavo,feeb4afc,GATARIO,Gustavo,v1427200421,CAMPOS Hector,bd6685ee,CAMPOS,Hector,v1581819231,Argentina,ARG,77,Argentina,ARG,77,/imported/,1266_0923100004905.jpg,/2019/04/,2673_1554972035.jpg,,,https://www.judobase.org/files/persons//imported//1266_0923100004905.jpg,https://www.judobase.org/files/persons//2019/04//2673_1554972035.jpg
1715,450501,12236,2673,2673,1,0,00:00:00,,,,,0,0,0,0,0,0,0,0,0,,Final,0,0,0,0,2019-03-11 14:29:20,0,0,0,0,0,0,0,cont_open_per2019_m_0100_0000,0,,,Lima Panamerican Open 2019,2019-03-09,cont_open_per2019,Lima,2019,Seniors,240,+100,7,2019/03/09,CAMPOS Hector,bd6685ee,CAMPOS,Hector,v1581819231,FIGUEROA Freddy,c8b48314,FIGUEROA,Freddy,v1562955984,Argentina,ARG,77,Ecuador,ECU,92,/2019/04/,2673_1554972035.jpg,/2019/07/,12236_1562955984.jpg,,,https://www.judobase.org/files/persons//2019/04//2673_1554972035.jpg,https://www.judobase.org/files/persons//2019/07//12236_1562955984.jpg
1000,32177,4308,892,892,1,3,00:04:12,0,2,1,5,0,0,1,3,0,2,0,2,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_egy2010_m_p100_0001,0,,,World Cup Cairo 2010,2010-05-15,wcup_egy2010,Cairo,2010,Seniors,240,+100,7,2010/05/15,EL SHEHABY Islam,8162193b,EL SHEHABY,Islam,v1616594059,RAKHMANOV Abubakr,453b349b,RAKHMANOV,Abubakr,v1487582244,Egypt,EGY,53,Tajikistan,TJK,88,/2021/03/,892_1615395596.jpg,/2011/03/,6742_6741_Rakhmonov-Abubakr.jpg,,World Cup,https://www.judobase.org/files/persons//2021/03//892_1615395596.jpg,https://www.judobase.org/files/persons//2011/03//6742_6741_Rakhmonov-Abubakr.jpg
1006,15569,2914,63,63,1,3,00:01:58,1,0,2,1,0,0,1,1,1,0,1,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_mgl2010_m_p100_0001,0,,,World Cup Ulaanbaatar 2010,2010-07-24,wcup_mgl2010,Ulaanbaatar,2010,Seniors,240,+100,7,2010/07/24,KIM Soo-whan,15517ee5,KIM,Soo-whan,v1500972920,ALTANGEREL Davaanyam,2a78b6c6,ALTANGEREL,Davaanyam,v1429099265,Republic of Korea,KOR,15,Mongolia,MGL,61,/2015/03/,50019_50018_.jpg,/imported/,4030_1021000000302.jpg,,World Cup,https://www.judobase.org/files/persons//2015/03//50019_50018_.jpg,https://www.judobase.org/files/persons//imported//4030_1021000000302.jpg
1016,45907,2912,63,63,1,3,00:02:45,1,0,0,2,0,0,0,1,1,0,0,1,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_kor2010_m_p100_0001,0,,,World Cup Suwon 2010,2010-12-03,wcup_kor2010,Sowun,2010,Seniors,240,+100,7,2010/12/03,KIM Soo-whan,15517ee5,KIM,Soo-whan,v1500972920,KHADBAATAR Munkhbaatar,5f7a6a14,KHADBAATAR,Munkhbaatar,v1429099265,Republic of Korea,KOR,15,Mongolia,MGL,61,/2015/03/,50019_50018_.jpg,/imported/,4028_1021000000104.jpg,,World Cup,https://www.judobase.org/files/persons//2015/03//50019_50018_.jpg,https://www.judobase.org/files/persons//imported//4028_1021000000104.jpg
1011,48581,25115,1982,1982,1,3,00:02:40,0,2,0,0,0,0,0,0,0,2,0,0,0,,best 16,0,0,0,0,2019-03-23 17:27:38,0,0,0,0,0,0,1,wcup_kaz2010_m_p100_0001,0,,,World Cup Alamata 2010,2010-09-25,wcup_kaz2010,Alamata,2010,Seniors,240,+100,7,2010/09/25,KIM Sungmin,828bbc61,KIM,Sungmin,v1559747145,RATKO Konstantin,3e56d45a,RATKO,Konstantin,v1435758578,Republic of Korea,KOR,15,Russian Federation,RUS,7,/2019/06/,1982_1559747145.jpg,/2015/05/,61613_61612_image-20-05-15-11-17-1.jpg,,World Cup,https://www.judobase.org/files/persons//2019/06//1982_1559747145.jpg,https://www.judobase.org/files/persons//2015/05//61613_61612_image-20-05-15-11-17-1.jpg
1048,48767,1544,892,892,1,3,00:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_kor2009_m_p100_0001,0,,,World Cup Suwon 2009,2009-12-04,wcup_kor2009,Suwon,2009,Seniors,240,+100,7,2009/12/04,EL SHEHABY Islam,8162193b,EL SHEHABY,Islam,v1616594059,NAIDAN Tuvshinbayar,51f925ad,NAIDAN,Tuvshinbayar,v1589036987,Egypt,EGY,53,Mongolia,MGL,61,/2021/03/,892_1615395596.jpg,/2019/06/,1544_1559747226.jpg,,World Cup,https://www.judobase.org/files/persons//2021/03//892_1615395596.jpg,https://www.judobase.org/files/persons//2019/06//1544_1559747226.jpg
