,id_person_blue,id_person_white,id_winner,competition_date
155,36583,25917,36583,2021-08-07
156,30062,19735,19735,2021-08-07
154,19063,64697,64697,2021-08-07
151,30181,60818,60818,2021-08-07
152,39268,30734,30734,2021-08-07
153,46391,47183,46391,2021-08-07
157,24215,50416,50416,2021-08-07
158,30734,60818,60818,2021-08-07
159,64697,46391,46391,2021-08-07
161,50416,36582,36582,2021-08-07
160,19735,36583,19735,2021-08-07
163,64697,47183,64697,2021-08-07
164,36583,30062,36583,2021-08-07
165,46391,60818,46391,2021-08-07
166,36582,19735,36582,2021-08-07
167,64697,30181,64697,2021-08-07
168,50416,36583,36583,2021-08-07
169,19735,64697,19735,2021-08-07
170,60818,36583,36583,2021-08-07
171,36582,46391,46391,2021-08-07
162,30734,30181,30181,2021-08-07
142,64969,64962,64962,2021-08-27
140,64969,64960,64969,2021-08-27
141,64963,64966,64966,2021-08-27
143,64965,64964,64964,2021-08-27
149,64964,64967,64967,2021-08-27
145,64967,64968,64968,2021-08-27
146,64964,64962,64962,2021-08-27
147,64968,64961,64968,2021-08-27
148,64961,64969,64969,2021-08-27
150,64968,64962,64962,2021-08-27
144,64966,64961,64961,2021-08-27
125,21760,25829,21760,2021-09-18
118,13369,19063,13369,2021-09-18
119,55752,24538,24538,2021-09-18
120,21760,31629,21760,2021-09-18
121,43949,18155,18155,2021-09-18
122,13369,25679,13369,2021-09-18
123,18243,38194,18243,2021-09-18
124,24538,20988,20988,2021-09-18
126,34981,43348,34981,2021-09-18
127,37917,18716,18716,2021-09-18
138,18243,34981,18243,2021-09-18
139,18716,18155,18716,2021-09-18
136,18716,21760,18716,2021-09-18
135,18243,18155,18155,2021-09-18
134,30571,34981,34981,2021-09-18
137,21760,20988,20988,2021-09-18
132,30571,18716,18716,2021-09-18
131,34981,21760,21760,2021-09-18
130,20988,18243,18243,2021-09-18
129,13369,18155,18155,2021-09-18
133,20988,13369,20988,2021-09-18
128,30571,7924,30571,2021-09-18
105,20237,14395,20237,2021-09-24
98,66781,30190,30190,2021-09-24
99,19063,23336,23336,2021-09-24
100,19799,22683,19799,2021-09-24
101,65194,22867,65194,2021-09-24
102,26312,26036,26312,2021-09-24
103,18923,19292,19292,2021-09-24
104,30190,18716,18716,2021-09-24
